From,To,AvgTime
-101344002#1,-130822232#1,1.4110871130309575
-101344002#1,101344002#0,1.210943124550036
-101344002#1,130822232#2,18.11231101511879
-1028906331#3,1028906331#0,14.356371490280777
-1028906331#3,22802823#0,3.4384449244060473
-1028906331#9,-1028906331#3,14.356371490280777
-1028906331#9,1028906331#4,12.406047516198702
-1028906331#9,90447889#0,12.807775377969762
-1067081763,1067081763,9.75953923686105
-1067133396,1067133396,4.825053995680345
-1093485832,-97690869#1,0.9882988298829883
-1093485832,1093485832,7.435565154787617
-1093485832,97690869#2,0.018001800180018002
-1101709281,-689012456#4,2.4060475161987043
-1101709281,689012456#5,9.620590352771778
-1101709281,927515582#0,30.940244780417565
-1113320866,1113320866,1.4211663066954643
-1126916437,-138507652#1,2.8452123830093594
-1126916437,1126916437,1.3880489560835134
-1126916437,138507652#2,2.007199424046076
-1127432025,-690496989,20.28221742260619
-1127432025,-79888971#3,4.064794816414687
-1127432025,1127432025,0.32541396688264934
-1127432025,79888971#5,6.171346292296616
-1131113895,-4270622#1,8.888408927285816
-1131113895,1131113895,0.4190064794816415
-1131113895,4270622#2,17.350611951043916
-1131116642,-58306933#3,23.673146148308135
-1131116642,1131116642,0.4996400287976962
-1131116642,58306933#4,8.742980561555076
-1133083733,-79890300#0,0.028797696184305256
-1133083733,1133083733,0.028797696184305256
-1133083733,79890300#1,21.462922966162708
-115131706#0,115131706#0,0.028797696184305256
-115131706#1,-115131706#0,0.028797696184305256
-115131706#1,115131706#1,0.7156227501799856
-115131706#1,1359746859,4.473722102231822
-115131707,-26827523#0,3.6515478761699063
-115131707,115131707,36.19870410367171
-115131707,26827523#2,3.0280777537796975
-115131707,642093119,2.921526277897768
-1153652155#1,1153652155#0,12.28509719222462
-1155418505,1155418505,6.871130309575234
-1168174954,1149827807,26.132469402447803
-1168174954,697231512#1,14.167746580273578
-117177767#1,117177767#0,14.060475161987041
-117177767#2,-117177767#1,15.06695464362851
-117177767#2,117177767#2,9.491720662347012
-117177767#2,138506500#0,0.25629949604031677
-1174964063,-22943291#1,4.593232541396688
-1174964063,1174964063,2.5514758819294454
-1174964063,22943291#2,5.606911447084233
-1190123897#1,-302532518#6,9.46894689468947
-1190123897#1,1190123897#0,9.83297336213103
-1190123897#1,302532518#7,5.551755175517552
-1205368122,-27575601#0,14.27933765298776
-1205368122,1205368122,1.8833693304535637
-1205368122,27575601#1,7.12167026637869
-120547463,-697206811,6.018718502519798
-120547463,-88308910#2,3.081353491720662
-120547463,120547463,22.829373650107993
-1206055234,1206055234,0.4362850971922246
-1206055234,233740167,17.946724262059035
-1206055235,-258725668,12.562994960403167
-1206055235,1206055235,0.028797696184305256
-1206055235,730948912#0,4.789056875449964
-120623183#2,-72739202,5.92080633549316
-120623183#2,120623183#0,9.120230381569474
-120623183#5,-120623183#2,9.13030957523398
-120623183#5,120623183#3,25.20086393088553
-120623183#5,927584809,5.768178545716343
-1211778520,-19822596#1,22.26637868970482
-1211778520,-233674120,2.5176385889128867
-1211778520,1211778520,0.014398848092152628
-1212260217,-22943251#2,3.798416126709863
-1212260217,1212260217,5.426925845932325
-1212260217,22943251#3,22.313894888408925
-1214120999#1,1214120999#0,6.9517638588912885
-1214280620#0,-55692096#9,9.441324694024477
-1214280620#0,1214280620#0,4.682505399568035
-1214280620#0,130821718#0,10.472282217422606
-1214280620#0,38429636,10.508279337652988
-1214280620#0,692068509#0,4.063354931605471
-1214280620#1,-1214280620#0,4.682505399568035
-1214280620#1,1214280620#1,0.8264938804895609
-1214280620#1,1214280621,0.028797696184305256
-1214280621,-1214280620#0,4.682505399568035
-1214280621,1214280620#1,0.8264938804895609
-1214280621,1214280621,0.028797696184305256
-1215908174,-56049250#2,12.30381569474442
-1215908174,1215908174,10.58027357811375
-1215908174,56049250#3,8.68682505399568
-122119126,122119126,6.145428365730742
-1229200373,-90564614#3,17.42836573074154
-1229200373,1229200373,4.600431965442764
-1229200373,90564614#4,12.535637149028078
-1237215041#0,-148818702#4,3.909287257019438
-1237215041#0,1237215041#0,3.4168466522678185
-1237215041#0,269499250#0,3.2915766738660905
-1237215041#4,-1237215041#0,3.4168466522678185
-1237215041#4,-269499249#2,10.766018718502519
-1237215041#4,1237215041#1,20.75881929445644
-1237215041#5,-1237215041#4,20.745860331173507
-1237215041#5,1237215041#5,10.691144708423325
-1237215041#5,1312173240#2,16.296616270698344
-1237215042#1,-1237215043#3,11.26709863210943
-1237215042#1,-1259664878#1,20.53825382538254
-1237215042#1,1237215042#0,3.676867686768677
-1237215042#1,22943166#0,18.122390208783298
-1237215042#3,-1237215042#1,3.676867686768677
-1237215042#3,1237215042#2,3.426642664266427
-1237215042#3,22943156,33.210943124550035
-1237215042#4,-1237215042#3,3.426642664266427
-1237215042#4,1237215042#4,2.7263726372637263
-1237215042#4,130837933#0,21.448524118070555
-1237215042#4,908661436,4.226061915046796
-1237215042#7,-1237215042#4,2.7263726372637263
-1237215042#7,1237215042#5,3.481548154815482
-1237215042#7,47484438,14.264938804895607
-1237215042#9,-1237215042#7,3.481548154815482
-1237215042#9,-130845019#2,22.918646508279334
-1237215042#9,1237215042#8,4.560756075607562
-1237215043#1,-1350638699,4.463642908567315
-1237215043#1,-22943108,31.64434845212383
-1237215043#1,1237215043#0,6.149748020158388
-1237215043#3,-1237215043#1,6.151187904967602
-1237215043#3,1237215043#2,11.258459323254138
-1237215043#3,47484437,35.104391648668106
-1259664877#0,1259664877#0,2.28982898289829
-1259664877#0,1312173238,2.6372637263726375
-1259664877#1,-1259664877#0,2.28982898289829
-1259664877#1,1259664877#1,1.856885688568857
-1259664877#1,696409333,3.28869690424766
-1259664877#13,-1259664877#8,2.686768676867687
-1259664877#13,-320599202,25.461483081353492
-1259664877#13,1259664877#10,5.216021602160216
-1259664877#13,22943137#0,8.472282217422606
-1259664877#14,-1259664877#13,5.2151215121512156
-1259664877#14,1259664877#14,2.121512151215122
-1259664877#14,417761549,2.935925125989921
-1259664877#15,-1259664877#14,2.121512151215122
-1259664877#15,-19977424#1,26.077753779697623
-1259664877#15,1259664877#15,1.2556255625562556
-1259664877#7,-1259664877#1,1.856885688568857
-1259664877#7,1259664877#2,10.06840684068407
-1259664877#7,19977738#0,16.67818574514039
-1259664877#8,-1259664877#7,10.06840684068407
-1259664877#8,1259664877#8,2.686768676867687
-1259664877#8,75612379,6.718502519798415
-1259664878#1,-1259664884#7,5.792079207920792
-1259664878#1,-19821704#3,14.790279027902791
-1259664878#1,1259664878#0,20.544554455445546
-1259664878#1,1267029558#0,5.204320432043205
-1259664884#1,-21992504#7,22.672367236723673
-1259664884#1,-688758271#6,24.380129589632826
-1259664884#1,1259664884#0,7.353735373537354
-1259664884#1,19821740#0,20.6984698469847
-1259664884#4,-1259664884#1,7.353735373537354
-1259664884#4,1259664884#3,3.746174617461746
-1259664884#4,47484436#0,38.76169906407487
-1259664884#5,-1259664884#4,3.7452745274527453
-1259664884#5,1259664884#5,2.3231323132313233
-1259664884#5,47484432,21.544996400287975
-1259664884#7,-1259664884#5,2.3231323132313233
-1259664884#7,1259664884#6,5.8127812781278125
-1259664884#7,46263807,9.39236861051116
-1259708343,1216995274#0,1.5161987041036715
-1259708343,1259708343,0.2994960403167747
-1267029558#1,-1259664884#7,5.792079207920792
-1267029558#1,-19821704#3,14.790279027902791
-1267029558#1,1259664878#0,20.544554455445546
-1267029558#1,1267029558#0,5.204320432043205
-1267029558#3,-1267029558#1,5.188118811881188
-1267029558#3,-47484437,35.08855291576673
-1267029558#3,1267029558#2,6.523852385238524
-1267033587#0,-695502505,7.753375337533754
-1267033587#0,695502506,5.801080108010802
-1267033587#0,695503350,6.148514851485149
-1267033587#2,-1267033587#0,6.15031503150315
-1267033587#2,1267033587#1,9.272727272727273
-1267033587#2,19978363#0,9.624190064794817
-1267033587#5,-1267033587#2,9.272727272727273
-1267033587#5,-695504603#1,16.68682505399568
-1267033587#5,1267033587#3,7.14941494149415
-1267033587#5,19978070#0,9.916486681065516
-1267033588,-1267033587#5,7.14941494149415
-1267033588,-19821525#7,20.040316774658027
-1267033588,1267033588,21.37652987760979
-1267033588,19821704#0,7.8928892889288935
-1272494548,188707184,7.69906407487401
-1278964458,-1278964459,1.9834413246940243
-1278964458,-90564614#5,12.53419726421886
-1278964458,1278964457,2.586033117350612
-1278964458,258725668,12.562994960403167
-1278964459,-697831506#1,0.7242620590352772
-1278964459,-730948911,6.561555075593953
-1278964459,1278964459,1.9834413246940243
